1066836537c_CPSF6,1043143555c_APOE,0104743520c_EIF4H,0104745245c_TNC,1043171268c_HNRNPA1,1047909961c_MCM2,0104745679c_SPP1,0104745733c_VIM,1043171373c_FGB,1043138774c_MBP,0105507292c_NONO,1066863255c_IGFBP6,1047911146c_PDIA6,1043143555_APOE,0105483201c_NPM1,0105510087c_SFPQ,1047912089_BTBD7,1066838183_CHD4,1047887413c_LMNB1,0104745249c_IGF1,1043142674_FBXO44,ZNF574_1066529052_ZNF574,0104742995c_ACTB,0105511133c_DNAJB1,0105483601c_CLU,0104743232c_PTBP1,0105482048c_ENO1,1086925497c_PADI4,1043143849_DCAF6,1043140754_CHD3,1086926269_PLVAP,0104743420c_FEN1,1066858084_SSX2,1066838606_NRBF2,0105507919c_DDX5,1043144332_AQP4,1066862864c_RBM39,105482048_ENO1,KDM6B_0172047444_KDM6B,1066866615_FAF1,1047887570c_SRSF7,1047887771c_TUBB,105510087_SFPQ,1086924247_BMP7,105510131_SNRPN,1047911620c_HSPD1,1066566039c_BGN,1066859121c_CALR,1066858266c_FGA,105507292_NONO
5.568344503761097,7.6128310304073565,9.253974408996244,7.798933310041217,5.942799375126701,10.658999017292624,5.905361848054571,9.273831469757381,9.717970896845632,7.049254841255837,8.818630229100354,5.655991810819852,7.8680628962730665,7.113956109566034,7.44716835960004,10.73491732089608,5.093750200806762,7.057036981697891,6.1903154058531475,5.541263545158426,6.148468295917647,4.6443908991413725,7.044905117129371,5.940171252720432,6.129050210060545,6.336825731146441,6.467698726104354,7.685703061234547,5.805134968916488,6.013715156042802,4.5217885770490405,6.633318433280377,7.779048644925556,10.079141094113716,5.69035945432406,4.283586561860629,8.027150106832774,6.737559901986023,4.6443908991413725,6.377576926700331,5.972536537222463,7.957702395668965,7.8168199657645525,4.882801922586371,5.424950017481403,6.124683390894205,6.371611847231857,5.231108616854587,5.998936561946683,7.0762314289540384
11.137198754625853,8.63488733423288,11.379576912772233,10.814765742586738,10.509523351106111,7.656337166430183,8.967822851478775,11.049762385722545,11.5259996244575,9.160782413127839,11.39185327597476,7.322510433997394,11.372191049896736,5.147494476813453,9.947887139832812,9.842409703027538,6.450470422144176,7.836369760545124,9.727644961839882,10.63106031411106,4.553876891600541,4.477336814478207,10.364639622058545,9.104312967330653,9.510519035757246,9.16408698745872,9.440340364086879,8.209580483475577,4.901564199041894,7.770012122363807,4.143134726391533,8.537779825024625,5.680172609017068,10.305647203635566,8.01648290139134,4.189654742026425,10.373303664201542,5.0072963928307415,3.8066624897703196,7.843064016692054,7.271703706887368,10.79019498186861,7.590346945602565,4.290459441148391,4.6443908991413725,7.7886260656250315,8.579980179515003,6.170656210893009,7.251699530442051,6.995308175989998
7.154615356913663,6.0764947962925575,7.44716835960004,5.697093486505405,7.857093864902493,6.945051063725834,6.663132695990803,9.044757931186505,7.377446359389572,8.64259160081057,8.91918561004543,5.572154032177765,7.413970290190444,6.1903154058531475,6.030685260261263,8.926251835034533,5.455321115357702,6.054439346269371,7.037905963447182,5.869296913133774,6.318968113746434,4.948759890378168,6.375024819828097,6.311734809152915,6.428912701069197,6.6637710617960755,6.3638898011379466,6.60934924316738,6.175867270105761,5.942799375126701,4.795790545596741,5.933570568689079,6.717199917261079,6.706862336602747,7.920083199053234,5.8664680569332965,6.835184586147301,6.471573198211912,4.770684624465665,6.502790045915623,6.988413181999592,7.348587530927593,6.436150368369428,5.206750173022546,5.190175207928333,7.819033469032748,6.154858094016418,5.640132447579745,7.024649030453636,6.376726947898627
10.122100857763806,7.614805364711073,9.042040056544483,7.408530566894626,8.413608875159667,10.385450631617017,7.442199768346762,9.8497175093263,8.286395421165167,6.410174881966167,10.226440239069829,6.129050210060545,7.44600149832412,9.796125034207629,6.280395838960195,10.391469228876826,4.762173934797756,8.089329088364593,6.238324625039508,7.550924089735841,5.560681631015528,4.927253685157205,6.570182436916891,6.559615237493242,7.846589975291186,5.902633333401366,6.249009525139524,7.328108999584052,6.783891291759751,5.811140992976701,4.060443010546419,6.319868609079685,7.468513271496337,4.442651256490317,6.643138479461352,4.343805421853684,8.291797105048733,6.09807428216624,4.579852378003801,6.748759547491679,7.490808536745009,6.79794041297493,7.9314644076235625,5.204006687076795,6.878841268817495,5.8805329864007,6.045005314036012,5.869296913133774,6.1779441140506,7.759187438507795
9.011462512866512,8.269628865560346,8.952346543226227,8.35267225924779,8.153925132007862,10.286229773537025,7.817424134547405,9.481321252704552,9.918302270674141,7.690286020676768,10.320156331151617,7.690057370852975,8.934257435367753,4.912654885736052,7.099201743553092,9.982483558762626,4.791649752930709,7.956827122090111,7.0825485693553,6.069582326371934,5.749392985908253,5.527442989539794,7.630703950778872,6.625392368007956,7.703007682479236,6.825460036255307,6.860663671448287,8.57828829077605,9.98142034359255,7.926422077473158,3.828641396489095,5.6240175061873385,6.2766434893416445,5.91350300563827,7.918446686277776,5.075173815233827,7.759400817362761,5.003946305945459,5.680172609017068,8.660254034256889,5.5909869805108565,6.980075940561763,6.7357800142423265,3.9512437185814275,4.110873864173311,6.163314804034641,6.326149473155099,5.1149953094204985,6.988874330266929,6.903747257584598
6.789534647594706,5.953243334287785,9.738200088297953,6.841615476477592,6.037870919922137,6.297109319933935,7.682482446534506,5.817111159963204,7.981049759665957,5.351858133476067,8.118356069598294,5.14166355650266,7.170504084888706,5.988961416889864,5.752572638825633,8.781171537168783,5.625820933186489,7.147559271189454,5.030437921392435,7.768533300926033,10.681963445198846,5.0106352940962555,5.541263545158426,5.803627809625917,5.928258471204189,5.049856007249537,7.430114138561801,5.4510384535657,5.680172609017068,8.465794628330237,4.908971640319756,5.31566600488265,6.61338421837956,4.990432586778736,5.517452896464707,4.465908118654584,5.993961427306569,5.929589143389895,4.505349850705881,6.7086943981838845,5.817111159963204,6.842149521884143,5.860786223465865,4.852030263919617,4.700480365792417,5.241747015059643,5.117993812416755,5.059425458265688,5.472270673671475,6.246106765481563
4.990432586778736,8.91038326864879,7.43543801981455,6.560323202124582,8.46653127661401,9.17133963462645,4.663439094112067,7.554858521040676,8.11701408773731,6.464588303689961,8.927181388251986,5.855071922202427,7.168579897264035,6.32704352775198,5.973809611869261,8.459987717645458,4.59511985013459,7.803230871142372,4.882801922586371,5.572154032177765,5.484796933490655,7.57353126274595,6.173786103901937,5.71042701737487,5.705447753975262,4.852030263919617,5.356586274672012,7.144407180321139,5.847882818629958,7.899153483343097,3.871201010907891,5.236441962829949,6.143112096717122,3.9889840465642745,5.598421958998375,8.637018584484586,6.161207321695077,6.249009525139524,5.846438775057725,6.063785208687608,5.501258210544727,6.384350873009287,6.377576926700331,4.04305126783455,4.248495242049359,5.017279836814924,6.118097198041348,4.436751534363128,4.787491742782046,6.779921907472252
6.2015228588735365,6.056784013228625,5.7899601708972535,6.184148890937483,6.16541785423142,5.700443573390687,5.820082930352362,6.408528791059498,7.216709486709457,5.529429087511423,8.375744827831863,6.342121418721152,6.802394763324311,6.777646593635117,6.6059742821508545,8.607033895416027,5.217649463480582,9.009691898489343,6.441743671005939,6.380969635637417,6.610696044717759,5.288267030694535,6.669498089857879,5.924255797414532,6.396095974467569,9.767954157240933,7.902117546276448,6.3638898011379466,7.038783541388542,8.171599480345463,5.6222108209623896,6.409352175214703,9.464750005164392,6.692083742506628,6.083359811812238,4.787491742782046,6.756350824822904,8.86848366507813,6.558906771292869,6.71295620067707,6.391917113392602,7.639642287858013,8.622273667866745,5.607638614103299,5.908082938168931,6.261491684321042,6.376726947898627,6.159095388491933,6.396929655216146,8.729235349659273
6.410174881966167,7.742835955430749,6.2766434893416445,6.262445427836352,5.84354441703136,6.52649485957079,5.782285536144145,6.595780513961311,7.696212639346407,5.285738584341177,7.340835554123275,5.455321115357702,7.206377291472252,9.427385364828522,6.305362461690656,8.166358303959187,6.23342985266278,9.588502797556337,5.60947179518496,5.741399338227508,7.978310969867722,6.666956792429207,6.124683390894205,5.66988092298052,6.056784013228625,5.41610040220442,5.5053315359323625,5.926926025970411,8.0040315078527,6.517671272912275,4.6443908991413725,5.638354669333745,8.728183186557876,5.583496308781699,5.814130531825066,4.886582645426277,6.22455842927536,7.32052696227274,6.290642784698189,8.351846738828245,6.22455842927536,7.210079628170788,6.875232087276577,5.043425116919247,4.812184355372417,5.499215308914927,5.638354669333745,5.5909869805108565,5.731721843345443,6.645740953278934
7.392955355109155,8.981430225767635,7.80710329012598,7.04882071926074,7.32052696227274,6.612041034833092,7.300472814267799,6.976348070447749,7.690743163541872,7.284820912568604,7.529406457837013,7.285506548522785,7.195937226475569,9.074291527512907,5.713732805509369,7.408833551293248,4.908971640319756,9.417923485172336,7.469654172932128,9.041685005946043,5.389071729816501,6.92461239604856,7.345687577227803,7.160845906664299,7.087573705557973,7.409136443920128,6.967909201801884,7.463649866115706,5.093750200806762,5.327876168789581,4.48863636973214,7.25063551189868,6.156978985585555,4.757891273005756,7.640123172695364,5.4510384535657,7.079184394609668,8.580543506917,5.049856007249537,5.607638614103299,7.324160327128636,7.29641326877392,7.303843225277705,5.153291594497779,4.709530201312334,7.288927694521257,7.2196420401307355,7.689142248391491,7.567604174140568,5.945420608606575
